date,exact_matches,mean_hmm_cost,median_hmm_cost,rejected,scorpio,total,total_hmm_cost,inserted
2020-06-12,228,0.91,0.0,2,.,407,369.0,177
2020-06-13,164,0.9,0.0,0,.,292,264.0,128
2020-06-14,197,0.85,0.0,4,.,330,281.0,129
2020-06-15,198,1.18,0.0,7,.,390,461.0,185
2020-06-16,188,1.09,0.0,2,.,361,394.0,171
2020-06-17,181,1.05,0.0,9,.,328,344.0,138
2020-06-18,147,1.51,1.0,14,.,306,463.0,145
2020-06-19,174,1.61,0.0,27,.,347,559.0,146
2020-06-20,119,0.73,0.0,0,.,200,146.0,81
2020-06-21,155,0.84,0.0,2,.,250,209.0,93
2020-06-22,140,0.92,0.0,2,.,246,227.0,104
2020-06-23,196,1.0,0.0,1,.,345,344.0,148
2020-06-24,183,0.94,0.0,0,.,356,335.0,173
2020-06-25,164,0.95,0.0,1,.,276,261.0,111
2020-06-26,87,1.19,0.0,3,.,159,190.0,69
2020-06-27,87,0.73,0.0,1,.,134,98.0,46
2020-06-28,52,1.08,0.0,1,.,96,104.0,43
2020-06-29,120,1.25,1.0,1,.,256,320.0,135
2020-06-30,121,1.07,0.0,2,.,239,255.0,116
2020-06-30,0,56.0,56.0,1,Omicron (BA.5-like),1,56.0,0
2020-07-01,139,1.09,0.5,4,.,278,304.0,135
2020-07-02,175,1.38,1.0,9,.,373,515.0,189
2020-07-02,0,60.0,60.0,2,Omicron (BA.4-like),2,120.0,0
2020-07-03,144,0.62,0.0,1,.,225,140.0,80
2020-07-04,113,0.6,0.0,0,.,174,104.0,61
2020-07-04,0,59.0,59.0,1,Omicron (BA.5-like),1,59.0,0
2020-07-05,114,0.74,0.0,5,.,164,122.0,45
2020-07-06,129,1.08,1.0,3,.,262,282.0,130
2020-07-07,135,1.64,1.0,10,.,287,470.0,142
2020-07-08,115,0.83,0.0,0,.,208,173.0,93
2020-07-09,98,0.87,0.0,2,.,157,137.0,57
2020-07-10,81,1.08,0.0,0,.,143,154.0,62
2020-07-11,65,1.3,1.0,4,.,156,203.0,87
2020-07-11,0,34.0,34.0,1,Alpha (B.1.1.7-like),1,34.0,0
2020-07-12,80,1.15,0.0,2,.,136,156.0,54
2020-07-13,208,0.78,0.0,4,.,315,247.0,103
2020-07-14,198,1.01,0.0,8,.,312,315.0,106
2020-07-15,284,1.03,0.0,14,.,483,497.0,185
2020-07-16,227,1.01,0.0,9,.,361,366.0,125
2020-07-17,244,0.98,0.0,7,.,390,384.0,139
2020-07-18,245,0.88,0.0,16,.,360,316.0,99
2020-07-19,201,0.46,0.0,1,.,274,126.0,72
2020-07-20,216,0.58,0.0,2,.,304,176.0,86
2020-07-21,215,0.9,0.0,4,.,371,333.0,152
2020-07-22,236,0.61,0.0,5,.,345,211.0,104
2020-07-23,308,0.54,0.0,0,.,426,229.0,118
2020-07-24,220,1.01,0.0,14,.,348,351.0,114
2020-07-25,181,0.45,0.0,1,.,251,113.0,69
2020-07-26,104,0.74,0.0,3,.,149,110.0,42
2020-07-27,248,0.7,0.0,5,.,359,251.0,106
2020-07-28,232,0.63,0.0,2,.,334,209.0,100
2020-07-29,199,0.84,0.0,3,.,335,280.0,133
2020-07-30,171,0.8,0.0,2,.,281,224.0,108
2020-07-31,171,0.84,0.0,9,.,256,215.0,76
2020-08-01,151,0.6,0.0,3,.,228,136.0,74
2020-08-02,153,1.0,0.0,6,.,259,260.0,100
2020-08-03,214,0.82,0.0,7,.,320,261.0,99
2020-08-04,163,1.32,0.0,14,.,294,388.0,117
2020-08-05,142,2.03,0.0,27,.,267,543.0,98
2020-08-06,207,1.62,0.0,33,.,351,568.0,111
2020-08-07,122,0.9,0.0,2,.,220,197.0,96
2020-08-08,90,0.7,0.0,0,.,148,104.0,58
2020-08-09,114,1.22,0.0,6,.,207,252.0,87
2020-08-10,199,1.06,0.0,9,.,352,372.0,144
2020-08-11,168,1.21,0.0,13,.,299,363.0,118
2020-08-12,197,1.27,0.0,13,.,314,398.0,104
2020-08-13,190,1.14,0.0,14,.,313,358.0,109
2020-08-14,164,1.2,0.0,15,.,282,337.0,103
2020-08-15,117,0.75,0.0,5,.,171,129.0,49
2020-08-16,86,1.26,0.0,9,.,151,190.0,56
2020-08-17,223,1.52,0.0,23,.,432,656.0,186
2020-08-18,190,1.9,0.0,39,.,352,669.0,123
2020-08-18,0,60.0,60.0,1,Omicron (BA.2-like),1,60.0,0
2020-08-19,162,1.35,0.0,19,.,288,388.0,107
2020-08-20,266,1.36,0.0,31,.,448,609.0,151
2020-08-21,199,1.4,0.0,14,.,395,553.0,182
2020-08-22,59,1.25,0.0,5,.,101,126.0,37
2020-08-23,54,1.29,0.0,2,.,105,135.0,49
2020-08-24,164,1.72,1.0,14,.,386,665.0,208
2020-08-25,145,1.58,1.0,17,.,302,478.0,140
2020-08-26,250,1.48,0.0,17,.,483,715.0,216
2020-08-27,258,1.13,0.0,16,.,453,510.0,179
2020-08-28,135,1.31,0.0,3,.,269,352.0,131
2020-08-29,114,0.94,0.0,6,.,198,186.0,78
2020-08-30,222,1.04,0.0,13,.,368,381.0,133
2020-08-31,262,1.32,0.0,19,.,473,623.0,192
2020-09-01,292,1.47,0.0,29,.,548,808.0,227
2020-09-02,162,1.3,0.0,12,.,305,396.0,131
2020-09-02,0,52.0,52.0,1,Omicron (BA.2-like),1,52.0,0
2020-09-03,193,1.5,0.0,21,.,367,552.0,153
2020-09-04,175,1.38,0.0,17,.,314,432.0,122
2020-09-05,86,0.96,0.0,5,.,135,130.0,44
2020-09-06,51,0.57,0.0,0,.,81,46.0,30
2020-09-07,238,1.2,0.0,12,.,439,526.0,189
2020-09-08,196,1.23,0.0,12,.,340,417.0,132
2020-09-09,357,1.09,0.0,22,.,652,711.0,273
2020-09-10,556,1.12,0.0,34,.,1014,1137.0,424
2020-09-11,208,1.06,0.0,14,.,335,356.0,113
2020-09-12,52,0.67,0.0,0,.,84,56.0,32
2020-09-13,79,0.69,0.0,1,.,121,83.0,41
2020-09-14,200,0.95,0.0,4,.,357,338.0,153
2020-09-15,176,1.63,0.0,8,.,347,564.0,163
2020-09-16,640,0.8,0.0,18,.,1105,884.0,447
2020-09-17,255,0.67,0.0,4,.,400,269.0,141
2020-09-17,0,9.0,9.0,1,Epsilon (B.1.427-like),1,9.0,0
2020-09-18,186,0.99,0.0,11,.,309,306.0,112
2020-09-19,208,1.05,0.0,14,.,367,384.0,145
2020-09-20,226,1.04,0.0,17,.,396,411.0,153
2020-09-20,0,18.0,18.0,1,Alpha (B.1.1.7-like),1,18.0,0
2020-09-21,445,0.97,0.0,19,.,879,855.0,415
2020-09-21,0,20.0,20.0,1,Alpha (B.1.1.7-like),1,20.0,0
2020-09-22,305,0.73,0.0,9,.,493,358.0,179
2020-09-23,269,1.16,0.0,20,.,476,550.0,187
2020-09-23,0,21.0,21.0,1,Alpha (B.1.1.7-like),1,21.0,0
2020-09-24,911,0.89,0.0,29,.,1684,1491.0,744
2020-09-25,364,1.12,0.0,23,.,629,707.0,242
2020-09-25,0,12.0,12.0,1,Epsilon (B.1.429-like),1,12.0,0
2020-09-26,93,0.92,0.0,5,.,152,140.0,54
2020-09-27,353,0.68,0.0,8,.,584,399.0,223
2020-09-28,155,1.28,0.0,12,.,280,358.0,113
2020-09-29,245,0.83,0.0,5,.,430,357.0,180
2020-09-30,248,1.49,1.0,23,.,500,744.0,229
2020-09-30,0,19.0,19.0,1,Alpha (B.1.1.7-like),1,19.0,0
2020-10-01,676,1.1,0.0,46,.,1250,1374.0,528
2020-10-01,0,19.0,19.0,1,Alpha (B.1.1.7-like),1,19.0,0
2020-10-02,356,0.86,0.0,11,.,622,535.0,255
2020-10-03,305,1.22,1.0,23,.,627,762.0,299
2020-10-04,132,1.02,0.0,6,.,238,243.0,100
2020-10-05,603,1.12,0.0,35,.,1166,1309.0,528
2020-10-05,0,12.0,12.0,1,Epsilon (B.1.429-like),1,12.0,0
2020-10-06,600,1.09,0.0,37,.,1143,1251.0,506
2020-10-07,557,1.06,0.0,23,.,1088,1151.0,508
2020-10-08,391,0.88,0.0,17,.,685,602.0,277
2020-10-08,0,20.0,20.0,1,Alpha (B.1.1.7-like),1,20.0,0
2020-10-09,403,0.86,0.0,13,.,694,598.0,278
2020-10-10,179,1.07,0.0,11,.,311,333.0,121
2020-10-10,0,37.0,37.0,1,Delta (B.1.617.2-like),1,37.0,0
2020-10-11,255,0.88,0.0,9,.,442,389.0,178
2020-10-11,0,19.0,19.0,2,Alpha (B.1.1.7-like),2,38.0,0
2020-10-12,576,0.96,0.0,23,.,1065,1019.0,466
2020-10-12,0,39.0,39.0,1,Delta (B.1.617.2-like),1,39.0,0
2020-10-13,371,1.12,0.0,27,.,658,735.0,260
2020-10-14,413,1.08,1.0,16,.,834,904.0,405
2020-10-14,0,13.0,13.0,1,Epsilon (B.1.429-like),1,13.0,0
2020-10-14,0,11.0,11.0,1,Epsilon (B.1.427-like),1,11.0,0
2020-10-15,683,1.32,1.0,51,.,1482,1957.0,748
2020-10-15,0,20.0,20.0,2,Alpha (B.1.1.7-like),2,40.0,0
2020-10-15,0,14.0,14.0,3,Beta (B.1.351-like),3,42.0,0
2020-10-15,0,11.0,11.0,1,Epsilon (B.1.427-like),1,11.0,0
2020-10-15,0,10.0,10.0,1,Zeta (P.2-like),1,10.0,0
2020-10-15,0,14.0,14.0,1,Epsilon (B.1.429-like),1,14.0,0
2020-10-16,285,1.21,0.0,20,.,551,664.0,246
2020-10-16,0,14.0,14.0,1,Epsilon (B.1.429-like),1,14.0,0
2020-10-17,364,0.97,0.0,13,.,661,642.0,284
2020-10-18,146,0.93,0.0,5,.,286,265.0,135
2020-10-19,501,1.04,0.0,24,.,950,986.0,425
2020-10-19,0,14.5,14.5,2,Beta (B.1.351-like),2,29.0,0
2020-10-19,0,9.0,9.0,1,Epsilon (B.1.427-like),1,9.0,0
2020-10-19,0,14.0,14.0,1,Epsilon (B.1.429-like),1,14.0,0
2020-10-20,582,1.02,1.0,25,.,1180,1209.0,573
2020-10-20,0,13.33,13.0,3,Beta (B.1.351-like),3,40.0,0
2020-10-20,0,15.0,15.0,1,Epsilon (B.1.429-like),1,15.0,0
2020-10-21,777,1.26,1.0,58,.,1641,2071.0,806
2020-10-21,0,19.57,19.0,14,Alpha (B.1.1.7-like),14,274.0,0
2020-10-21,0,13.0,13.0,1,A.23.1-like,1,13.0,0
2020-10-22,813,1.03,0.0,38,.,1619,1670.0,768
2020-10-22,0,19.83,19.5,6,Alpha (B.1.1.7-like),6,119.0,0
2020-10-22,0,14.5,14.5,4,Beta (B.1.351-like),4,58.0,0
2020-10-23,324,1.04,0.0,17,.,601,628.0,260
2020-10-23,0,20.0,20.0,6,Alpha (B.1.1.7-like),6,120.0,0
2020-10-23,0,12.8,14.0,5,Beta (B.1.351-like),5,64.0,0
2020-10-24,396,0.96,0.0,16,.,736,703.0,324
2020-10-24,0,19.25,19.5,4,Alpha (B.1.1.7-like),4,77.0,0
2020-10-24,0,15.0,15.0,2,Epsilon (B.1.429-like),2,30.0,0
2020-10-25,174,1.01,0.0,8,.,315,317.0,133
2020-10-25,1,0.0,0.0,0,Alpha (B.1.1.7-like),1,0.0,0
2020-10-26,712,1.18,0.0,49,.,1360,1611.0,599
2020-10-26,1,0.5,0.5,0,Alpha (B.1.1.7-like),2,1.0,1
2020-10-26,1,0.5,0.5,0,Beta (B.1.351-like),2,1.0,1
2020-10-26,0,14.0,14.0,1,Epsilon (B.1.429-like),1,14.0,0
2020-10-27,353,1.16,0.0,17,.,694,805.0,324
2020-10-27,1,0.5,0.5,0,Beta (B.1.351-like),2,1.0,1
2020-10-28,193,1.33,0.0,16,.,349,465.0,140
2020-10-28,2,0.0,0.0,0,Beta (B.1.351-like),2,0.0,0
2020-10-28,0,14.33,14.0,3,Epsilon (B.1.429-like),3,43.0,0
2020-10-29,402,1.29,1.0,33,.,812,1044.0,377
2020-10-29,7,0.94,1.0,0,Alpha (B.1.1.7-like),18,17.0,11
2020-10-29,1,0.0,0.0,0,Beta (B.1.351-like),1,0.0,0
2020-10-29,0,9.0,9.0,1,Epsilon (B.1.427-like),1,9.0,0
2020-10-30,350,1.05,0.0,18,.,689,724.0,321
2020-10-30,6,0.0,0.0,0,Alpha (B.1.1.7-like),6,0.0,0
2020-10-30,1,0.0,0.0,0,Beta (B.1.351-like),1,0.0,0
2020-10-30,0,14.67,15.0,3,Epsilon (B.1.429-like),3,44.0,0
2020-10-31,176,1.17,0.0,9,.,344,401.0,159
2020-10-31,3,0.0,0.0,0,Alpha (B.1.1.7-like),3,0.0,0
2020-11-01,646,1.17,1.0,22,.,1367,1599.0,699
2020-11-01,10,0.29,0.0,0,Alpha (B.1.1.7-like),14,4.0,4
2020-11-02,882,1.2,1.0,47,.,1962,2354.0,1033
2020-11-02,13,0.73,1.0,0,Alpha (B.1.1.7-like),33,24.0,20
2020-11-02,0,16.17,16.0,6,Epsilon (B.1.429-like),6,97.0,0
2020-11-02,2,0.6,1.0,0,Beta (B.1.351-like),5,3.0,3
2020-11-03,430,1.34,1.0,32,.,870,1165.0,408
2020-11-03,5,0.33,0.0,0,Alpha (B.1.1.7-like),6,2.0,1
2020-11-03,1,0.67,1.0,0,Beta (B.1.351-like),3,2.0,2
2020-11-03,0,14.0,14.0,1,Epsilon (B.1.429-like),1,14.0,0
2020-11-04,557,1.28,1.0,38,.,1280,1639.0,685
2020-11-04,1,1.5,1.5,0,Alpha (B.1.1.7-like),2,3.0,1
2020-11-04,0,34.0,34.0,1,Delta (AY.4-like),1,34.0,0
2020-11-04,0,3.0,3.0,0,Beta (B.1.351-like),3,9.0,3
2020-11-04,0,1.0,1.0,0,Epsilon (B.1.429-like),1,1.0,1
2020-11-05,598,1.55,1.0,59,.,1368,2127.0,711
2020-11-05,46,0.51,0.0,0,Alpha (B.1.1.7-like),80,41.0,34
2020-11-05,2,1.0,0.0,0,Epsilon (B.1.429-like),3,3.0,1
2020-11-05,2,1.0,1.0,0,Beta (B.1.351-like),5,5.0,3
2020-11-05,0,1.0,1.0,0,Epsilon (B.1.427-like),1,1.0,1
2020-11-06,327,1.58,1.0,37,.,676,1065.0,312
2020-11-06,10,0.58,0.0,0,Alpha (B.1.1.7-like),19,11.0,9
2020-11-06,3,0.4,0.0,0,Epsilon (B.1.429-like),5,2.0,2
2020-11-06,3,0.4,0.0,0,Beta (B.1.351-like),5,2.0,2
2020-11-07,319,1.35,1.0,21,.,762,1026.0,422
2020-11-07,1,0.5,0.5,0,Epsilon (B.1.429-like),2,1.0,1
2020-11-08,743,1.13,1.0,39,.,1587,1801.0,805
2020-11-08,49,0.76,0.0,0,Alpha (B.1.1.7-like),94,71.0,45
2020-11-08,1,0.0,0.0,0,Epsilon (B.1.429-like),1,0.0,0
2020-11-08,0,35.0,35.0,1,Delta (B.1.617.2-like),1,35.0,0
2020-11-09,489,1.32,1.0,35,.,1116,1472.0,592
2020-11-09,26,0.35,0.0,0,Alpha (B.1.1.7-like),37,13.0,11
2020-11-09,9,0.71,0.0,0,Epsilon (B.1.429-like),14,10.0,5
2020-11-10,353,1.34,1.0,33,.,770,1030.0,384
2020-11-10,6,1.08,0.5,0,Alpha (B.1.1.7-like),12,13.0,6
2020-11-10,4,2.8,2.0,0,Epsilon (B.1.429-like),10,28.0,6
2020-11-10,0,2.0,2.0,0,Beta (B.1.351-like),1,2.0,1
2020-11-11,556,1.3,1.0,37,.,1282,1662.0,689
2020-11-11,22,0.49,0.0,0,Alpha (B.1.1.7-like),35,17.0,13
2020-11-11,0,3.67,4.0,0,Beta (B.1.351-like),3,11.0,3
2020-11-11,3,1.25,0.0,0,Epsilon (B.1.429-like),4,5.0,1
2020-11-11,0,5.0,5.0,0,Epsilon (B.1.427-like),1,5.0,1
2020-11-12,464,1.37,1.0,34,.,1047,1430.0,549
2020-11-12,57,0.38,0.0,0,Alpha (B.1.1.7-like),78,30.0,21
2020-11-12,0,11.0,11.0,1,Zeta (P.2-like),1,11.0,0
2020-11-12,0,2.1,2.0,0,Beta (B.1.351-like),10,21.0,10
2020-11-12,2,0.6,1.0,0,Epsilon (B.1.429-like),5,3.0,3
2020-11-13,644,1.56,1.0,77,.,1448,2252.0,727
2020-11-13,79,0.62,0.0,0,Alpha (B.1.1.7-like),139,86.0,60
2020-11-13,0,33.0,33.0,1,Delta (AY.4-like),1,33.0,0
2020-11-13,2,0.33,0.0,0,Epsilon (B.1.429-like),3,1.0,1
2020-11-13,4,1.59,2.0,0,Beta (B.1.351-like),17,27.0,13
2020-11-13,0,1.0,1.0,0,Epsilon (B.1.427-like),1,1.0,1
2020-11-13,0,11.0,11.0,1,Zeta (P.2-like),1,11.0,0
2020-11-14,681,1.28,1.0,54,.,1476,1889.0,741
2020-11-14,60,0.72,0.0,0,Alpha (B.1.1.7-like),112,81.0,52
2020-11-15,354,1.32,1.0,28,.,729,965.0,347
2020-11-15,49,0.6,0.0,0,Alpha (B.1.1.7-like),84,50.0,35
2020-11-15,1,1.67,2.0,0,Beta (B.1.351-like),3,5.0,2
2020-11-15,1,1.5,1.5,0,Epsilon (B.1.427-like),2,3.0,1
2020-11-16,176,2.05,1.0,32,.,435,893.0,227
2020-11-16,3,1.0,0.0,0,Alpha (B.1.1.7-like),4,4.0,1
2020-11-16,0,3.0,3.0,0,Epsilon (B.1.427-like),2,6.0,2
2020-11-16,5,1.35,1.0,0,Epsilon (B.1.429-like),17,23.0,12
2020-11-16,0,1.5,1.5,0,Beta (B.1.351-like),2,3.0,2
2020-11-17,401,1.58,1.0,53,.,840,1329.0,386
2020-11-17,60,0.48,0.0,0,Alpha (B.1.1.7-like),92,44.0,32
2020-11-17,1,2.0,2.0,0,Epsilon (B.1.429-like),4,8.0,3
2020-11-17,0,13.0,13.0,1,Zeta (P.2-like),1,13.0,0
2020-11-17,0,3.0,3.0,0,Beta (B.1.351-like),1,3.0,1
2020-11-18,615,1.46,1.0,66,.,1492,2179.0,811
2020-11-18,48,0.57,0.0,0,Alpha (B.1.1.7-like),83,47.0,35
2020-11-18,0,3.8,3.0,0,Epsilon (B.1.429-like),5,19.0,5
2020-11-18,1,0.5,0.5,0,Epsilon (B.1.427-like),2,1.0,1
2020-11-18,1,1.0,1.0,0,Beta (B.1.351-like),5,5.0,4
2020-11-19,169,1.69,1.0,27,.,366,619.0,170
2020-11-19,37,0.4,0.0,0,Alpha (B.1.1.7-like),57,23.0,20
2020-11-19,0,4.0,4.0,0,Epsilon (B.1.429-like),1,4.0,1
2020-11-19,3,1.62,1.0,0,Beta (B.1.351-like),8,13.0,5
2020-11-19,0,36.0,36.0,1,Delta (B.1.617.2-like),1,36.0,0
2020-11-20,355,1.56,1.0,47,.,831,1297.0,429
2020-11-20,15,0.7,0.0,0,Alpha (B.1.1.7-like),27,19.0,12
2020-11-20,1,1.0,1.0,0,Epsilon (B.1.429-like),3,3.0,2
2020-11-20,3,1.56,1.0,0,Beta (B.1.351-like),9,14.0,6
