,date,exact_matches,mean_hmm_cost,median_hmm_cost,rejected,scorpio,total,total_hmm_cost,inserted
66,2020-03-29,298,0.68,0.0,0,.,535,363.0,237
67,2020-03-30,355,0.82,0.0,0,.,706,578.0,351
68,2020-03-31,0,56.0,56.0,1,Omicron (BA.5-like),1,56.0,0
69,2020-03-31,308,0.78,0.0,0,.,577,451.0,269
70,2020-04-01,360,0.81,0.0,0,.,707,574.0,347
71,2020-04-02,271,0.79,0.0,0,.,534,421.0,263
72,2020-04-03,317,0.72,0.0,1,.,584,418.0,266
73,2020-04-04,238,0.74,0.0,1,.,431,317.0,192
74,2020-04-05,205,0.74,0.0,0,.,385,285.0,180
75,2020-04-06,310,0.76,0.0,0,.,598,456.0,288
76,2020-04-07,291,0.77,0.0,0,.,537,412.0,246
77,2020-04-08,237,0.81,0.0,1,.,470,383.0,232
78,2020-04-09,196,0.82,1.0,0,.,410,337.0,214
79,2020-04-10,246,0.76,0.0,0,.,455,344.0,209
80,2020-04-11,201,0.8,0.0,0,.,392,312.0,191
81,2020-04-12,223,0.82,0.0,2,.,389,319.0,164
82,2020-04-12,0,17.0,17.0,1,A.23.1-like,1,17.0,0
83,2020-04-12,0,27.0,27.0,1,Alpha (B.1.1.7-like),1,27.0,0
84,2020-04-13,238,0.9,1.0,0,.,493,446.0,255
85,2020-04-14,226,0.77,0.0,0,.,414,317.0,188
86,2020-04-15,165,0.86,1.0,0,.,332,284.0,167
87,2020-04-16,200,0.85,0.0,0,.,397,338.0,197
88,2020-04-17,207,0.75,0.0,1,.,370,276.0,162
89,2020-04-18,158,0.72,0.0,0,.,301,216.0,143
90,2020-04-19,103,0.88,0.0,0,.,200,176.0,97
91,2020-04-20,191,0.86,1.0,0,.,385,330.0,194
92,2020-04-21,209,0.83,1.0,0,.,419,349.0,210
93,2020-04-22,215,0.88,1.0,0,.,459,405.0,244
94,2020-04-23,179,0.9,1.0,0,.,375,338.0,196
95,2020-04-24,146,1.03,1.0,0,.,338,347.0,192
96,2020-04-25,99,0.8,0.0,0,.,182,146.0,83
97,2020-04-26,82,1.03,1.0,0,.,187,193.0,105
98,2020-04-27,161,0.97,1.0,0,.,349,339.0,188
99,2020-04-28,116,0.97,1.0,1,.,255,247.0,138
100,2020-04-29,152,1.0,1.0,0,.,318,318.0,166
101,2020-04-30,149,0.98,1.0,1,.,312,305.0,162
102,2020-05-01,167,1.12,1.0,0,.,345,388.0,178
103,2020-05-02,103,0.89,1.0,0,.,208,185.0,105
104,2020-05-03,77,0.98,1.0,0,.,175,172.0,98
105,2020-05-04,127,0.93,1.0,2,.,270,252.0,141
106,2020-05-04,0,18.0,18.0,1,Zeta (P.2-like),1,18.0,0
107,2020-05-05,127,1.3,1.0,3,.,290,377.0,160
108,2020-05-06,153,0.93,0.0,1,.,297,275.0,143
109,2020-05-06,0,22.0,22.0,1,Gamma (P.1-like),1,22.0,0
110,2020-05-07,88,1.05,1.0,0,.,191,201.0,103
111,2020-05-08,94,1.26,1.0,0,.,196,246.0,102
112,2020-05-09,75,1.07,1.0,0,.,163,174.0,88
113,2020-05-10,81,0.95,0.0,0,.,159,151.0,78
114,2020-05-11,143,1.06,0.5,2,.,286,303.0,141
115,2020-05-12,127,1.09,1.0,1,.,290,315.0,162
116,2020-05-13,128,1.54,1.0,0,.,348,537.0,220
117,2020-05-14,99,1.24,1.0,0,.,227,282.0,128
118,2020-05-15,82,1.15,1.0,3,.,182,210.0,97
119,2020-05-16,66,0.94,0.0,0,.,125,117.0,59
120,2020-05-17,63,1.08,0.0,1,.,121,131.0,57
121,2020-05-18,100,1.11,1.0,0,.,222,246.0,122
122,2020-05-19,87,1.35,1.0,2,.,200,270.0,111
123,2020-05-20,91,1.27,1.0,0,.,207,263.0,116
124,2020-05-21,88,1.1,1.0,0,.,185,203.0,97
125,2020-05-22,64,1.35,1.0,0,.,162,219.0,98
126,2020-05-23,46,1.08,0.0,0,.,89,96.0,43
127,2020-05-24,32,1.53,1.0,0,.,77,118.0,45
128,2020-05-25,34,1.27,1.0,0,.,98,124.0,64
129,2020-05-26,67,0.92,1.0,0,.,139,128.0,72
130,2020-05-27,82,1.25,1.0,0,.,176,220.0,94
131,2020-05-27,0,15.0,15.0,1,Beta (B.1.351-like),1,15.0,0
132,2020-05-28,34,1.44,1.0,0,.,99,143.0,65
133,2020-05-29,28,1.65,1.0,1,.,85,140.0,56
134,2020-05-30,54,0.95,0.0,0,.,103,98.0,49
135,2020-05-31,34,0.93,0.0,0,.,61,57.0,27
136,2020-06-01,62,1.9,1.0,1,.,230,437.0,167
137,2020-06-02,73,1.57,1.0,6,.,176,277.0,97
138,2020-06-03,33,2.09,1.0,5,.,89,186.0,51
139,2020-06-03,0,29.0,29.0,1,Alpha (B.1.1.7-like),1,29.0,0
140,2020-06-04,35,1.36,1.0,1,.,108,147.0,72
141,2020-06-05,50,1.27,1.0,1,.,111,141.0,60
142,2020-06-06,25,1.85,1.0,2,.,66,122.0,39
143,2020-06-07,68,1.74,1.0,2,.,184,321.0,114
144,2020-06-08,87,1.56,1.0,5,.,273,427.0,181
145,2020-06-09,112,1.58,1.0,10,.,276,437.0,154
146,2020-06-10,149,1.27,1.0,6,.,327,415.0,172
147,2020-06-11,195,1.2,0.0,4,.,386,462.0,187
148,2020-06-12,228,0.91,0.0,2,.,407,369.0,177
149,2020-06-13,164,0.9,0.0,0,.,292,264.0,128
150,2020-06-14,197,0.85,0.0,4,.,330,281.0,129
151,2020-06-15,198,1.18,0.0,7,.,390,461.0,185
152,2020-06-16,188,1.09,0.0,2,.,361,394.0,171
153,2020-06-17,181,1.05,0.0,9,.,328,344.0,138
154,2020-06-18,147,1.51,1.0,14,.,306,463.0,145
155,2020-06-19,174,1.61,0.0,27,.,347,559.0,146
156,2020-06-20,119,0.73,0.0,0,.,200,146.0,81
157,2020-06-21,155,0.84,0.0,2,.,250,209.0,93
158,2020-06-22,140,0.92,0.0,2,.,246,227.0,104
159,2020-06-23,196,1.0,0.0,1,.,345,344.0,148
160,2020-06-24,183,0.94,0.0,0,.,356,335.0,173
161,2020-06-25,164,0.95,0.0,1,.,276,261.0,111
162,2020-06-26,87,1.19,0.0,3,.,159,190.0,69
163,2020-06-27,87,0.73,0.0,1,.,134,98.0,46
164,2020-06-28,52,1.08,0.0,1,.,96,104.0,43
165,2020-06-29,120,1.25,1.0,1,.,256,320.0,135
166,2020-06-30,121,1.07,0.0,2,.,239,255.0,116
167,2020-06-30,0,56.0,56.0,1,Omicron (BA.5-like),1,56.0,0
168,2020-07-01,139,1.09,0.5,4,.,278,304.0,135
169,2020-07-02,175,1.38,1.0,9,.,373,515.0,189
170,2020-07-02,0,60.0,60.0,2,Omicron (BA.4-like),2,120.0,0
171,2020-07-03,144,0.62,0.0,1,.,225,140.0,80
172,2020-07-04,113,0.6,0.0,0,.,174,104.0,61
173,2020-07-04,0,59.0,59.0,1,Omicron (BA.5-like),1,59.0,0
174,2020-07-05,114,0.74,0.0,5,.,164,122.0,45
175,2020-07-06,129,1.08,1.0,3,.,262,282.0,130
176,2020-07-07,135,1.64,1.0,10,.,287,470.0,142
177,2020-07-08,115,0.83,0.0,0,.,208,173.0,93
178,2020-07-09,98,0.87,0.0,2,.,157,137.0,57
179,2020-07-10,81,1.08,0.0,0,.,143,154.0,62
180,2020-07-11,65,1.3,1.0,4,.,156,203.0,87
181,2020-07-11,0,34.0,34.0,1,Alpha (B.1.1.7-like),1,34.0,0
182,2020-07-12,80,1.15,0.0,2,.,136,156.0,54
183,2020-07-13,208,0.78,0.0,4,.,315,247.0,103
184,2020-07-14,198,1.01,0.0,8,.,312,315.0,106
185,2020-07-15,284,1.03,0.0,14,.,483,497.0,185
186,2020-07-16,227,1.01,0.0,9,.,361,366.0,125
187,2020-07-17,244,0.98,0.0,7,.,390,384.0,139
188,2020-07-18,245,0.88,0.0,16,.,360,316.0,99
189,2020-07-19,201,0.46,0.0,1,.,274,126.0,72
190,2020-07-20,216,0.58,0.0,2,.,304,176.0,86
191,2020-07-21,215,0.9,0.0,4,.,371,333.0,152
192,2020-07-22,236,0.61,0.0,5,.,345,211.0,104
193,2020-07-23,308,0.54,0.0,0,.,426,229.0,118
194,2020-07-24,220,1.01,0.0,14,.,348,351.0,114
195,2020-07-25,181,0.45,0.0,1,.,251,113.0,69
196,2020-07-26,104,0.74,0.0,3,.,149,110.0,42
197,2020-07-27,248,0.7,0.0,5,.,359,251.0,106
198,2020-07-28,232,0.63,0.0,2,.,334,209.0,100
199,2020-07-29,199,0.84,0.0,3,.,335,280.0,133
200,2020-07-30,171,0.8,0.0,2,.,281,224.0,108
201,2020-07-31,171,0.84,0.0,9,.,256,215.0,76
202,2020-08-01,151,0.6,0.0,3,.,228,136.0,74
203,2020-08-02,153,1.0,0.0,6,.,259,260.0,100
204,2020-08-03,214,0.82,0.0,7,.,320,261.0,99
205,2020-08-04,163,1.32,0.0,14,.,294,388.0,117
206,2020-08-05,142,2.03,0.0,27,.,267,543.0,98
207,2020-08-06,207,1.62,0.0,33,.,351,568.0,111
208,2020-08-07,122,0.9,0.0,2,.,220,197.0,96
209,2020-08-08,90,0.7,0.0,0,.,148,104.0,58
210,2020-08-09,114,1.22,0.0,6,.,207,252.0,87
211,2020-08-10,199,1.06,0.0,9,.,352,372.0,144
212,2020-08-11,168,1.21,0.0,13,.,299,363.0,118
213,2020-08-12,197,1.27,0.0,13,.,314,398.0,104
214,2020-08-13,190,1.14,0.0,14,.,313,358.0,109
215,2020-08-14,164,1.2,0.0,15,.,282,337.0,103
216,2020-08-15,117,0.75,0.0,5,.,171,129.0,49
217,2020-08-16,86,1.26,0.0,9,.,151,190.0,56
218,2020-08-17,223,1.52,0.0,23,.,432,656.0,186
219,2020-08-18,190,1.9,0.0,39,.,352,669.0,123
220,2020-08-18,0,60.0,60.0,1,Omicron (BA.2-like),1,60.0,0
221,2020-08-19,162,1.35,0.0,19,.,288,388.0,107
222,2020-08-20,266,1.36,0.0,31,.,448,609.0,151
223,2020-08-21,199,1.4,0.0,14,.,395,553.0,182
224,2020-08-22,59,1.25,0.0,5,.,101,126.0,37
225,2020-08-23,54,1.29,0.0,2,.,105,135.0,49
226,2020-08-24,164,1.72,1.0,14,.,386,665.0,208
227,2020-08-25,145,1.58,1.0,17,.,302,478.0,140
228,2020-08-26,250,1.48,0.0,17,.,483,715.0,216
229,2020-08-27,258,1.13,0.0,16,.,453,510.0,179
230,2020-08-28,135,1.31,0.0,3,.,269,352.0,131
231,2020-08-29,114,0.94,0.0,6,.,198,186.0,78
232,2020-08-30,222,1.04,0.0,13,.,368,381.0,133
233,2020-08-31,262,1.32,0.0,19,.,473,623.0,192
234,2020-09-01,292,1.47,0.0,29,.,548,808.0,227
235,2020-09-02,162,1.3,0.0,12,.,305,396.0,131
236,2020-09-02,0,52.0,52.0,1,Omicron (BA.2-like),1,52.0,0
237,2020-09-03,193,1.5,0.0,21,.,367,552.0,153
238,2020-09-04,175,1.38,0.0,17,.,314,432.0,122
239,2020-09-05,86,0.96,0.0,5,.,135,130.0,44
240,2020-09-06,51,0.57,0.0,0,.,81,46.0,30
241,2020-09-07,238,1.2,0.0,12,.,439,526.0,189
242,2020-09-08,196,1.23,0.0,12,.,340,417.0,132
243,2020-09-09,357,1.09,0.0,22,.,652,711.0,273
244,2020-09-10,556,1.12,0.0,34,.,1014,1137.0,424
245,2020-09-11,208,1.06,0.0,14,.,335,356.0,113
246,2020-09-12,52,0.67,0.0,0,.,84,56.0,32
247,2020-09-13,79,0.69,0.0,1,.,121,83.0,41
248,2020-09-14,200,0.95,0.0,4,.,357,338.0,153
249,2020-09-15,176,1.63,0.0,8,.,347,564.0,163
250,2020-09-16,640,0.8,0.0,18,.,1105,884.0,447
251,2020-09-17,255,0.67,0.0,4,.,400,269.0,141
252,2020-09-17,0,9.0,9.0,1,Epsilon (B.1.427-like),1,9.0,0
253,2020-09-18,186,0.99,0.0,11,.,309,306.0,112
254,2020-09-19,208,1.05,0.0,14,.,367,384.0,145
255,2020-09-20,226,1.04,0.0,17,.,396,411.0,153
256,2020-09-20,0,18.0,18.0,1,Alpha (B.1.1.7-like),1,18.0,0
257,2020-09-21,445,0.97,0.0,19,.,879,855.0,415
258,2020-09-21,0,20.0,20.0,1,Alpha (B.1.1.7-like),1,20.0,0
259,2020-09-22,305,0.73,0.0,9,.,493,358.0,179
260,2020-09-23,269,1.16,0.0,20,.,476,550.0,187
261,2020-09-23,0,21.0,21.0,1,Alpha (B.1.1.7-like),1,21.0,0
262,2020-09-24,911,0.89,0.0,29,.,1684,1491.0,744
263,2020-09-25,364,1.12,0.0,23,.,629,707.0,242
264,2020-09-25,0,12.0,12.0,1,Epsilon (B.1.429-like),1,12.0,0
265,2020-09-26,93,0.92,0.0,5,.,152,140.0,54
266,2020-09-27,353,0.68,0.0,8,.,584,399.0,223
267,2020-09-28,155,1.28,0.0,12,.,280,358.0,113
268,2020-09-29,245,0.83,0.0,5,.,430,357.0,180
269,2020-09-30,248,1.49,1.0,23,.,500,744.0,229
270,2020-09-30,0,19.0,19.0,1,Alpha (B.1.1.7-like),1,19.0,0
271,2020-10-01,676,1.1,0.0,46,.,1250,1374.0,528
272,2020-10-01,0,19.0,19.0,1,Alpha (B.1.1.7-like),1,19.0,0
273,2020-10-02,356,0.86,0.0,11,.,622,535.0,255
274,2020-10-03,305,1.22,1.0,23,.,627,762.0,299
275,2020-10-04,132,1.02,0.0,6,.,238,243.0,100
276,2020-10-05,603,1.12,0.0,35,.,1166,1309.0,528
277,2020-10-05,0,12.0,12.0,1,Epsilon (B.1.429-like),1,12.0,0
278,2020-10-06,600,1.09,0.0,37,.,1143,1251.0,506
279,2020-10-07,557,1.06,0.0,23,.,1088,1151.0,508
280,2020-10-08,391,0.88,0.0,17,.,685,602.0,277
281,2020-10-08,0,20.0,20.0,1,Alpha (B.1.1.7-like),1,20.0,0
282,2020-10-09,403,0.86,0.0,13,.,694,598.0,278
283,2020-10-10,179,1.07,0.0,11,.,311,333.0,121
284,2020-10-10,0,37.0,37.0,1,Delta (B.1.617.2-like),1,37.0,0
285,2020-10-11,255,0.88,0.0,9,.,442,389.0,178
286,2020-10-11,0,19.0,19.0,2,Alpha (B.1.1.7-like),2,38.0,0
287,2020-10-12,576,0.96,0.0,23,.,1065,1019.0,466
288,2020-10-12,0,39.0,39.0,1,Delta (B.1.617.2-like),1,39.0,0
289,2020-10-13,371,1.12,0.0,27,.,658,735.0,260
290,2020-10-14,413,1.08,1.0,16,.,834,904.0,405
291,2020-10-14,0,13.0,13.0,1,Epsilon (B.1.429-like),1,13.0,0
292,2020-10-14,0,11.0,11.0,1,Epsilon (B.1.427-like),1,11.0,0
293,2020-10-15,683,1.32,1.0,51,.,1482,1957.0,748
294,2020-10-15,0,20.0,20.0,2,Alpha (B.1.1.7-like),2,40.0,0
295,2020-10-15,0,14.0,14.0,3,Beta (B.1.351-like),3,42.0,0
296,2020-10-15,0,11.0,11.0,1,Epsilon (B.1.427-like),1,11.0,0
297,2020-10-15,0,10.0,10.0,1,Zeta (P.2-like),1,10.0,0
298,2020-10-15,0,14.0,14.0,1,Epsilon (B.1.429-like),1,14.0,0
299,2020-10-16,285,1.21,0.0,20,.,551,664.0,246
300,2020-10-16,0,14.0,14.0,1,Epsilon (B.1.429-like),1,14.0,0
301,2020-10-17,364,0.97,0.0,13,.,661,642.0,284
302,2020-10-18,146,0.93,0.0,5,.,286,265.0,135
303,2020-10-19,501,1.04,0.0,24,.,950,986.0,425
304,2020-10-19,0,14.5,14.5,2,Beta (B.1.351-like),2,29.0,0
305,2020-10-19,0,9.0,9.0,1,Epsilon (B.1.427-like),1,9.0,0
306,2020-10-19,0,14.0,14.0,1,Epsilon (B.1.429-like),1,14.0,0
307,2020-10-20,582,1.02,1.0,25,.,1180,1209.0,573
308,2020-10-20,0,13.33,13.0,3,Beta (B.1.351-like),3,40.0,0
309,2020-10-20,0,15.0,15.0,1,Epsilon (B.1.429-like),1,15.0,0
310,2020-10-21,777,1.26,1.0,58,.,1641,2071.0,806
311,2020-10-21,0,19.57,19.0,14,Alpha (B.1.1.7-like),14,274.0,0
312,2020-10-21,0,13.0,13.0,1,A.23.1-like,1,13.0,0
313,2020-10-22,813,1.03,0.0,38,.,1619,1670.0,768
314,2020-10-22,0,19.83,19.5,6,Alpha (B.1.1.7-like),6,119.0,0
315,2020-10-22,0,14.5,14.5,4,Beta (B.1.351-like),4,58.0,0
316,2020-10-23,324,1.04,0.0,17,.,601,628.0,260
317,2020-10-23,0,20.0,20.0,6,Alpha (B.1.1.7-like),6,120.0,0
318,2020-10-23,0,12.8,14.0,5,Beta (B.1.351-like),5,64.0,0
319,2020-10-24,396,0.96,0.0,16,.,736,703.0,324
320,2020-10-24,0,19.25,19.5,4,Alpha (B.1.1.7-like),4,77.0,0
321,2020-10-24,0,15.0,15.0,2,Epsilon (B.1.429-like),2,30.0,0
322,2020-10-25,174,1.01,0.0,8,.,315,317.0,133
323,2020-10-25,1,0.0,0.0,0,Alpha (B.1.1.7-like),1,0.0,0
324,2020-10-26,712,1.18,0.0,49,.,1360,1611.0,599
325,2020-10-26,1,0.5,0.5,0,Alpha (B.1.1.7-like),2,1.0,1
326,2020-10-26,1,0.5,0.5,0,Beta (B.1.351-like),2,1.0,1
327,2020-10-26,0,14.0,14.0,1,Epsilon (B.1.429-like),1,14.0,0
328,2020-10-27,353,1.16,0.0,17,.,694,805.0,324
329,2020-10-27,1,0.5,0.5,0,Beta (B.1.351-like),2,1.0,1
330,2020-10-28,193,1.33,0.0,16,.,349,465.0,140
331,2020-10-28,2,0.0,0.0,0,Beta (B.1.351-like),2,0.0,0
332,2020-10-28,0,14.33,14.0,3,Epsilon (B.1.429-like),3,43.0,0
333,2020-10-29,402,1.29,1.0,33,.,812,1044.0,377
334,2020-10-29,7,0.94,1.0,0,Alpha (B.1.1.7-like),18,17.0,11
335,2020-10-29,1,0.0,0.0,0,Beta (B.1.351-like),1,0.0,0
336,2020-10-29,0,9.0,9.0,1,Epsilon (B.1.427-like),1,9.0,0
337,2020-10-30,350,1.05,0.0,18,.,689,724.0,321
338,2020-10-30,6,0.0,0.0,0,Alpha (B.1.1.7-like),6,0.0,0
339,2020-10-30,1,0.0,0.0,0,Beta (B.1.351-like),1,0.0,0
340,2020-10-30,0,14.67,15.0,3,Epsilon (B.1.429-like),3,44.0,0
341,2020-10-31,176,1.17,0.0,9,.,344,401.0,159
342,2020-10-31,3,0.0,0.0,0,Alpha (B.1.1.7-like),3,0.0,0
343,2020-11-01,646,1.17,1.0,22,.,1367,1599.0,699
344,2020-11-01,10,0.29,0.0,0,Alpha (B.1.1.7-like),14,4.0,4
345,2020-11-02,882,1.2,1.0,47,.,1962,2354.0,1033
346,2020-11-02,13,0.73,1.0,0,Alpha (B.1.1.7-like),33,24.0,20
347,2020-11-02,0,16.17,16.0,6,Epsilon (B.1.429-like),6,97.0,0
348,2020-11-02,2,0.6,1.0,0,Beta (B.1.351-like),5,3.0,3
349,2020-11-03,430,1.34,1.0,32,.,870,1165.0,408
350,2020-11-03,5,0.33,0.0,0,Alpha (B.1.1.7-like),6,2.0,1
351,2020-11-03,1,0.67,1.0,0,Beta (B.1.351-like),3,2.0,2
352,2020-11-03,0,14.0,14.0,1,Epsilon (B.1.429-like),1,14.0,0
353,2020-11-04,557,1.28,1.0,38,.,1280,1639.0,685
354,2020-11-04,1,1.5,1.5,0,Alpha (B.1.1.7-like),2,3.0,1
355,2020-11-04,0,34.0,34.0,1,Delta (AY.4-like),1,34.0,0
356,2020-11-04,0,3.0,3.0,0,Beta (B.1.351-like),3,9.0,3
357,2020-11-04,0,1.0,1.0,0,Epsilon (B.1.429-like),1,1.0,1
358,2020-11-05,598,1.55,1.0,59,.,1368,2127.0,711
359,2020-11-05,46,0.51,0.0,0,Alpha (B.1.1.7-like),80,41.0,34
360,2020-11-05,2,1.0,0.0,0,Epsilon (B.1.429-like),3,3.0,1
361,2020-11-05,2,1.0,1.0,0,Beta (B.1.351-like),5,5.0,3
362,2020-11-05,0,1.0,1.0,0,Epsilon (B.1.427-like),1,1.0,1
363,2020-11-06,327,1.58,1.0,37,.,676,1065.0,312
364,2020-11-06,10,0.58,0.0,0,Alpha (B.1.1.7-like),19,11.0,9
365,2020-11-06,3,0.4,0.0,0,Epsilon (B.1.429-like),5,2.0,2
366,2020-11-06,3,0.4,0.0,0,Beta (B.1.351-like),5,2.0,2
367,2020-11-07,319,1.35,1.0,21,.,762,1026.0,422
368,2020-11-07,1,0.5,0.5,0,Epsilon (B.1.429-like),2,1.0,1
369,2020-11-08,743,1.13,1.0,39,.,1587,1801.0,805
370,2020-11-08,49,0.76,0.0,0,Alpha (B.1.1.7-like),94,71.0,45
371,2020-11-08,1,0.0,0.0,0,Epsilon (B.1.429-like),1,0.0,0
372,2020-11-08,0,35.0,35.0,1,Delta (B.1.617.2-like),1,35.0,0
373,2020-11-09,489,1.32,1.0,35,.,1116,1472.0,592
374,2020-11-09,26,0.35,0.0,0,Alpha (B.1.1.7-like),37,13.0,11
375,2020-11-09,9,0.71,0.0,0,Epsilon (B.1.429-like),14,10.0,5
376,2020-11-10,353,1.34,1.0,33,.,770,1030.0,384
377,2020-11-10,6,1.08,0.5,0,Alpha (B.1.1.7-like),12,13.0,6
378,2020-11-10,4,2.8,2.0,0,Epsilon (B.1.429-like),10,28.0,6
379,2020-11-10,0,2.0,2.0,0,Beta (B.1.351-like),1,2.0,1
380,2020-11-11,556,1.3,1.0,37,.,1282,1662.0,689
381,2020-11-11,22,0.49,0.0,0,Alpha (B.1.1.7-like),35,17.0,13
382,2020-11-11,0,3.67,4.0,0,Beta (B.1.351-like),3,11.0,3
383,2020-11-11,3,1.25,0.0,0,Epsilon (B.1.429-like),4,5.0,1
384,2020-11-11,0,5.0,5.0,0,Epsilon (B.1.427-like),1,5.0,1
385,2020-11-12,464,1.37,1.0,34,.,1047,1430.0,549
386,2020-11-12,57,0.38,0.0,0,Alpha (B.1.1.7-like),78,30.0,21
387,2020-11-12,0,11.0,11.0,1,Zeta (P.2-like),1,11.0,0
388,2020-11-12,0,2.1,2.0,0,Beta (B.1.351-like),10,21.0,10
389,2020-11-12,2,0.6,1.0,0,Epsilon (B.1.429-like),5,3.0,3
390,2020-11-13,644,1.56,1.0,77,.,1448,2252.0,727
391,2020-11-13,79,0.62,0.0,0,Alpha (B.1.1.7-like),139,86.0,60
392,2020-11-13,0,33.0,33.0,1,Delta (AY.4-like),1,33.0,0
393,2020-11-13,2,0.33,0.0,0,Epsilon (B.1.429-like),3,1.0,1
394,2020-11-13,4,1.59,2.0,0,Beta (B.1.351-like),17,27.0,13
395,2020-11-13,0,1.0,1.0,0,Epsilon (B.1.427-like),1,1.0,1
396,2020-11-13,0,11.0,11.0,1,Zeta (P.2-like),1,11.0,0
397,2020-11-14,681,1.28,1.0,54,.,1476,1889.0,741
398,2020-11-14,60,0.72,0.0,0,Alpha (B.1.1.7-like),112,81.0,52
399,2020-11-15,354,1.32,1.0,28,.,729,965.0,347
400,2020-11-15,49,0.6,0.0,0,Alpha (B.1.1.7-like),84,50.0,35
401,2020-11-15,1,1.67,2.0,0,Beta (B.1.351-like),3,5.0,2
402,2020-11-15,1,1.5,1.5,0,Epsilon (B.1.427-like),2,3.0,1
403,2020-11-16,176,2.05,1.0,32,.,435,893.0,227
404,2020-11-16,3,1.0,0.0,0,Alpha (B.1.1.7-like),4,4.0,1
405,2020-11-16,0,3.0,3.0,0,Epsilon (B.1.427-like),2,6.0,2
