,date,exact_matches,mean_hmm_cost,median_hmm_cost,rejected,scorpio,total,total_hmm_cost,inserted
75,2020-04-02,313,0.81,0.5,0,.,626,504.0,313
76,2020-04-03,350,0.76,0.0,1,.,672,509.0,321
77,2020-04-04,258,0.75,0.0,1,.,473,357.0,214
78,2020-04-05,230,0.74,0.0,0,.,423,311.0,193
79,2020-04-06,348,0.77,0.0,0,.,667,515.0,319
80,2020-04-07,329,0.78,0.0,0,.,606,475.0,277
81,2020-04-08,267,0.85,0.0,1,.,529,450.0,261
82,2020-04-09,242,0.8,1.0,0,.,503,404.0,261
83,2020-04-10,314,0.75,0.0,0,.,571,431.0,257
84,2020-04-11,220,0.81,1.0,0,.,441,357.0,221
85,2020-04-12,243,0.82,0.0,2,.,428,353.0,183
86,2020-04-12,0,17.0,17.0,1,A.23.1-like,1,17.0,0
87,2020-04-12,0,27.0,27.0,1,Alpha (B.1.1.7-like),1,27.0,0
88,2020-04-13,289,0.88,1.0,0,.,590,517.0,301
89,2020-04-14,292,0.72,0.0,0,.,518,373.0,226
90,2020-04-15,196,0.9,1.0,0,.,408,369.0,212
91,2020-04-16,236,0.83,0.0,0,.,462,382.0,226
92,2020-04-17,241,0.85,0.0,1,.,450,384.0,208
93,2020-04-18,179,0.8,0.0,0,.,351,281.0,172
94,2020-04-19,131,0.9,1.0,0,.,270,242.0,139
95,2020-04-20,249,0.85,0.0,0,.,485,413.0,236
96,2020-04-21,228,0.91,1.0,0,.,473,429.0,245
97,2020-04-22,229,0.9,1.0,0,.,490,439.0,261
98,2020-04-23,196,0.92,1.0,0,.,418,384.0,222
99,2020-04-24,179,1.01,1.0,0,.,400,403.0,221
100,2020-04-25,106,0.83,0.0,0,.,204,170.0,98
101,2020-04-26,85,1.14,1.0,0,.,207,235.0,122
102,2020-04-27,205,0.91,1.0,0,.,422,386.0,217
103,2020-04-28,130,1.06,1.0,3,.,285,301.0,152
104,2020-04-29,166,1.06,1.0,0,.,359,380.0,193
105,2020-04-30,153,1.04,1.0,1,.,336,349.0,182
106,2020-05-01,167,1.13,1.0,0,.,369,418.0,202
107,2020-05-02,114,0.94,1.0,0,.,237,222.0,123
108,2020-05-03,82,0.98,1.0,0,.,192,189.0,110
109,2020-05-04,133,0.98,1.0,2,.,289,284.0,154
110,2020-05-04,0,18.0,18.0,1,Zeta (P.2-like),1,18.0,0
111,2020-05-05,135,1.36,1.0,5,.,330,449.0,190
112,2020-05-06,174,0.93,0.0,2,.,332,310.0,156
113,2020-05-06,0,24.0,24.0,1,Gamma (P.1-like),1,24.0,0
114,2020-05-07,104,1.03,1.0,0,.,225,232.0,121
115,2020-05-08,107,1.19,1.0,0,.,221,264.0,114
116,2020-05-09,81,1.17,1.0,0,.,186,217.0,105
117,2020-05-10,97,0.93,0.0,0,.,186,173.0,89
118,2020-05-11,165,1.09,1.0,2,.,337,366.0,170
119,2020-05-12,143,1.11,1.0,2,.,327,364.0,182
120,2020-05-13,149,1.52,1.0,0,.,388,589.0,239
121,2020-05-14,124,1.22,1.0,0,.,294,358.0,170
122,2020-05-15,105,1.08,1.0,3,.,226,245.0,118
123,2020-05-16,74,1.02,0.0,1,.,142,145.0,67
124,2020-05-17,71,1.13,0.0,2,.,141,160.0,68
125,2020-05-18,111,1.19,1.0,0,.,267,318.0,156
126,2020-05-19,112,1.31,1.0,1,.,247,323.0,134
127,2020-05-20,96,1.28,1.0,0,.,234,299.0,138
128,2020-05-21,95,1.15,1.0,2,.,200,229.0,103
129,2020-05-22,74,1.35,1.0,0,.,190,256.0,116
130,2020-05-23,53,1.12,0.0,0,.,105,118.0,52
131,2020-05-24,37,1.47,1.0,0,.,89,131.0,52
132,2020-05-25,42,1.28,1.0,0,.,109,140.0,67
133,2020-05-26,80,0.95,1.0,0,.,168,160.0,88
134,2020-05-27,85,1.26,1.0,0,.,193,243.0,108
135,2020-05-27,0,17.0,17.0,1,Beta (B.1.351-like),1,17.0,0
136,2020-05-28,41,1.42,1.0,0,.,115,163.0,74
137,2020-05-29,33,1.67,1.0,1,.,94,157.0,60
138,2020-05-30,55,1.07,1.0,2,.,115,123.0,58
139,2020-05-31,39,0.93,0.0,0,.,71,66.0,32
140,2020-06-01,81,1.9,2.0,2,.,263,499.0,180
141,2020-06-02,87,1.59,1.0,7,.,197,314.0,103
142,2020-06-03,36,2.26,1.0,6,.,99,224.0,57
143,2020-06-03,0,29.0,29.0,1,Alpha (B.1.1.7-like),1,29.0,0
144,2020-06-04,43,1.31,1.0,1,.,118,155.0,74
145,2020-06-05,55,1.34,1.0,1,.,119,160.0,63
146,2020-06-06,30,1.75,1.0,1,.,71,124.0,40
147,2020-06-07,67,1.73,1.0,2,.,192,332.0,123
148,2020-06-08,92,1.54,1.0,3,.,284,437.0,189
149,2020-06-09,119,1.62,1.0,10,.,294,476.0,165
150,2020-06-10,151,1.3,1.0,5,.,336,436.0,180
151,2020-06-11,201,1.18,0.0,4,.,400,471.0,195
152,2020-06-12,231,0.96,0.0,0,.,425,409.0,194
153,2020-06-13,169,0.98,0.0,0,.,306,301.0,137
154,2020-06-14,197,0.87,0.0,3,.,338,293.0,138
155,2020-06-15,209,1.22,0.0,8,.,414,505.0,197
156,2020-06-16,194,1.09,0.0,4,.,372,407.0,174
157,2020-06-17,187,1.11,0.0,9,.,349,387.0,153
158,2020-06-18,151,1.64,1.0,18,.,320,526.0,151
159,2020-06-19,178,1.66,1.0,26,.,359,595.0,155
160,2020-06-20,127,0.76,0.0,1,.,212,162.0,84
161,2020-06-21,157,0.94,0.0,3,.,268,252.0,108
162,2020-06-22,143,0.96,0.0,2,.,263,253.0,118
163,2020-06-23,188,1.09,0.0,3,.,358,389.0,167
164,2020-06-24,189,1.02,0.0,3,.,374,381.0,182
165,2020-06-25,164,1.08,0.0,3,.,287,310.0,120
166,2020-06-26,91,1.31,0.0,3,.,176,231.0,82
167,2020-06-27,91,0.75,0.0,1,.,142,106.0,50
168,2020-06-28,51,1.14,0.0,1,.,101,115.0,49
169,2020-06-29,129,1.32,1.0,3,.,276,365.0,144
170,2020-06-30,125,1.75,1.0,21,.,258,451.0,112
171,2020-06-30,0,59.0,59.0,1,Omicron (BA.5-like),1,59.0,0
172,2020-07-01,145,1.13,0.5,4,.,290,327.0,141
173,2020-07-02,178,1.62,1.0,12,.,384,622.0,194
174,2020-07-02,0,62.0,62.0,2,Omicron (BA.4-like),2,124.0,0
175,2020-07-03,153,0.61,0.0,0,.,238,144.0,85
176,2020-07-04,111,0.79,0.0,2,.,185,146.0,72
177,2020-07-04,0,62.0,62.0,1,Omicron (BA.5-like),1,62.0,0
178,2020-07-05,119,0.64,0.0,3,.,168,107.0,46
179,2020-07-06,139,1.19,1.0,5,.,289,344.0,145
180,2020-07-07,150,1.61,1.0,11,.,311,501.0,150
181,2020-07-08,120,0.98,0.0,1,.,225,220.0,104
182,2020-07-09,98,0.94,0.0,3,.,166,156.0,65
183,2020-07-10,80,1.16,0.0,1,.,151,175.0,70
184,2020-07-11,66,1.5,1.0,6,.,165,248.0,93
185,2020-07-11,0,35.0,35.0,1,Alpha (B.1.1.7-like),1,35.0,0
186,2020-07-12,82,1.26,0.0,3,.,144,182.0,59
187,2020-07-13,213,0.82,0.0,7,.,327,269.0,107
188,2020-07-14,197,1.11,0.0,8,.,323,360.0,118
189,2020-07-15,288,1.06,0.0,14,.,492,523.0,190
190,2020-07-16,231,1.04,0.0,10,.,370,385.0,129
191,2020-07-17,255,1.03,0.0,8,.,407,419.0,144
192,2020-07-18,251,0.91,0.0,18,.,373,338.0,104
193,2020-07-19,204,0.51,0.0,3,.,283,145.0,76
194,2020-07-20,229,0.61,0.0,3,.,328,199.0,96
195,2020-07-21,227,1.04,0.0,4,.,400,415.0,169
196,2020-07-22,244,0.73,0.0,7,.,361,263.0,110
197,2020-07-23,308,0.7,0.0,6,.,444,312.0,130
198,2020-07-24,220,1.1,0.0,17,.,360,397.0,123
199,2020-07-25,177,0.47,0.0,0,.,257,120.0,80
200,2020-07-26,104,0.77,0.0,2,.,153,118.0,47
201,2020-07-27,263,0.7,0.0,7,.,379,266.0,109
202,2020-07-28,238,0.69,0.0,3,.,353,242.0,112
203,2020-07-29,210,0.86,0.0,3,.,350,301.0,137
204,2020-07-30,173,0.91,0.0,4,.,290,263.0,113
205,2020-07-31,168,0.9,0.0,10,.,263,238.0,85
206,2020-08-01,162,0.61,0.0,4,.,248,151.0,82
207,2020-08-02,160,1.02,0.0,7,.,273,279.0,106
208,2020-08-03,221,0.87,0.0,9,.,333,291.0,103
209,2020-08-04,174,1.35,0.0,15,.,317,427.0,128
210,2020-08-05,158,1.96,0.0,30,.,294,575.0,106
211,2020-08-06,223,1.63,0.0,36,.,382,621.0,123
212,2020-08-07,126,0.97,0.0,4,.,230,223.0,100
213,2020-08-08,99,0.74,0.0,0,.,167,124.0,68
214,2020-08-09,125,1.33,0.0,11,.,220,293.0,84
215,2020-08-10,194,1.31,0.0,16,.,369,484.0,159
216,2020-08-11,177,1.42,0.0,18,.,318,452.0,123
217,2020-08-12,197,1.38,0.0,15,.,328,452.0,116
218,2020-08-13,197,1.25,0.0,19,.,335,420.0,119
219,2020-08-14,165,1.28,0.0,16,.,292,373.0,111
220,2020-08-15,124,0.76,0.0,5,.,180,137.0,51
221,2020-08-16,93,1.18,0.0,8,.,161,190.0,60
222,2020-08-17,236,1.66,0.0,30,.,458,761.0,192
223,2020-08-18,198,1.99,0.0,42,.,379,756.0,139
224,2020-08-18,0,62.0,62.0,1,Omicron (BA.2-like),1,62.0,0
225,2020-08-19,167,1.41,0.0,19,.,304,429.0,118
226,2020-08-20,271,1.35,0.0,34,.,468,633.0,163
227,2020-08-21,201,1.6,0.5,23,.,402,645.0,178
228,2020-08-22,64,1.39,0.0,6,.,113,157.0,43
229,2020-08-23,58,1.46,0.0,4,.,111,162.0,49
230,2020-08-24,163,2.03,1.0,29,.,401,814.0,209
231,2020-08-25,151,1.67,1.0,21,.,318,531.0,146
232,2020-08-26,253,1.85,0.0,36,.,502,927.0,213
233,2020-08-27,255,1.33,0.0,25,.,463,615.0,183
234,2020-08-28,141,1.54,0.0,9,.,281,433.0,131
235,2020-08-29,118,1.24,0.0,13,.,218,270.0,87
236,2020-08-30,235,1.35,0.0,25,.,388,522.0,128
237,2020-08-31,260,1.65,0.0,34,.,495,818.0,201
238,2020-09-01,290,1.75,0.0,49,.,565,988.0,226
239,2020-09-02,166,1.53,0.0,18,.,321,490.0,137
240,2020-09-02,0,56.0,56.0,1,Omicron (BA.2-like),1,56.0,0
241,2020-09-03,194,1.78,0.0,30,.,379,675.0,155
242,2020-09-04,175,1.49,0.0,21,.,331,493.0,135
243,2020-09-05,81,1.21,0.0,8,.,145,175.0,56
244,2020-09-06,56,0.79,0.0,2,.,89,70.0,31
245,2020-09-07,241,1.39,0.0,22,.,452,629.0,189
246,2020-09-08,200,1.37,0.0,17,.,353,484.0,136
247,2020-09-09,364,1.34,0.0,37,.,676,905.0,275
248,2020-09-10,552,1.39,0.0,56,.,1047,1453.0,439
249,2020-09-11,205,1.53,0.0,32,.,356,546.0,119
250,2020-09-12,50,1.34,0.0,6,.,87,117.0,31
251,2020-09-13,80,0.97,0.0,4,.,127,123.0,43
252,2020-09-14,202,1.15,0.0,11,.,375,432.0,162
253,2020-09-15,183,1.56,0.0,10,.,363,568.0,170
254,2020-09-16,644,0.9,0.0,26,.,1128,1015.0,458
255,2020-09-17,259,0.82,0.0,9,.,417,344.0,149
256,2020-09-17,0,10.0,10.0,1,Epsilon (B.1.427-like),1,10.0,0
257,2020-09-18,190,1.09,0.0,15,.,328,358.0,123
258,2020-09-18,0,42.0,42.0,1,Delta (B.1.617.2-like),1,42.0,0
259,2020-09-19,211,1.15,0.0,16,.,381,440.0,154
260,2020-09-20,220,1.18,0.0,22,.,406,480.0,164
261,2020-09-20,0,18.0,18.0,1,Alpha (B.1.1.7-like),1,18.0,0
262,2020-09-21,452,1.05,1.0,22,.,905,946.0,431
263,2020-09-21,0,20.0,20.0,1,Alpha (B.1.1.7-like),1,20.0,0
264,2020-09-22,316,0.79,0.0,12,.,519,411.0,191
265,2020-09-22,0,44.0,44.0,1,Omicron (BA.1-like),1,44.0,0
266,2020-09-23,377,1.12,0.0,22,.,720,806.0,321
267,2020-09-23,0,21.0,21.0,1,Alpha (B.1.1.7-like),1,21.0,0
268,2020-09-24,905,0.96,0.0,33,.,1723,1646.0,785
269,2020-09-25,374,1.25,0.0,33,.,651,813.0,244
270,2020-09-25,0,13.0,13.0,1,Epsilon (B.1.429-like),1,13.0,0
271,2020-09-26,95,0.98,0.0,5,.,156,153.0,56
272,2020-09-27,357,0.67,0.0,8,.,595,400.0,230
273,2020-09-28,151,1.39,0.0,14,.,290,403.0,125
274,2020-09-29,248,0.97,0.0,8,.,458,444.0,202
275,2020-09-30,250,1.61,1.0,25,.,514,830.0,239
276,2020-09-30,0,19.0,19.0,1,Alpha (B.1.1.7-like),1,19.0,0
277,2020-10-01,676,1.15,0.0,50,.,1280,1474.0,554
278,2020-10-01,0,19.0,19.0,1,Alpha (B.1.1.7-like),1,19.0,0
279,2020-10-01,0,31.0,31.0,1,Delta (B.1.617.2-like),1,31.0,0
280,2020-10-02,355,0.94,0.0,13,.,653,611.0,285
281,2020-10-03,318,1.28,1.0,26,.,646,828.0,302
282,2020-10-04,137,1.09,0.0,7,.,251,273.0,107
283,2020-10-05,618,1.22,0.0,44,.,1212,1473.0,550
284,2020-10-05,0,13.0,13.0,1,Epsilon (B.1.429-like),1,13.0,0
285,2020-10-06,606,1.16,0.0,39,.,1180,1371.0,535
286,2020-10-06,0,15.0,15.0,1,Epsilon (B.1.429-like),1,15.0,0
287,2020-10-07,556,1.19,1.0,37,.,1118,1331.0,525
288,2020-10-07,0,11.0,11.0,1,Beta (B.1.351-like),1,11.0,0
289,2020-10-08,395,0.95,0.0,19,.,711,672.0,297
290,2020-10-08,0,21.0,21.0,1,Alpha (B.1.1.7-like),1,21.0,0
291,2020-10-09,413,0.97,0.0,16,.,723,698.0,294
292,2020-10-10,186,1.2,0.0,12,.,333,400.0,135
293,2020-10-10,0,39.0,39.0,1,Delta (B.1.617.2-like),1,39.0,0
294,2020-10-11,268,0.97,0.0,14,.,471,459.0,189
295,2020-10-11,0,19.0,19.0,2,Alpha (B.1.1.7-like),2,38.0,0
296,2020-10-12,572,1.06,0.0,31,.,1094,1159.0,491
297,2020-10-12,0,38.0,38.0,1,Delta (B.1.617.2-like),1,38.0,0
298,2020-10-13,370,1.28,0.0,35,.,692,884.0,287
299,2020-10-14,425,1.13,1.0,20,.,863,979.0,418
300,2020-10-14,0,14.0,14.0,1,Epsilon (B.1.429-like),1,14.0,0
301,2020-10-14,0,12.0,12.0,1,Epsilon (B.1.427-like),1,12.0,0
302,2020-10-15,693,1.49,1.0,73,.,1548,2306.0,782
303,2020-10-15,0,20.0,20.0,2,Alpha (B.1.1.7-like),2,40.0,0
304,2020-10-15,0,14.75,14.5,4,Beta (B.1.351-like),4,59.0,0
305,2020-10-15,0,12.0,12.0,1,Epsilon (B.1.427-like),1,12.0,0
306,2020-10-15,0,10.0,10.0,1,Zeta (P.2-like),1,10.0,0
307,2020-10-15,0,15.0,15.0,1,Epsilon (B.1.429-like),1,15.0,0
308,2020-10-16,294,1.29,0.0,27,.,576,743.0,255
309,2020-10-16,0,15.0,15.0,1,Epsilon (B.1.429-like),1,15.0,0
310,2020-10-17,365,1.01,0.0,13,.,677,682.0,299
311,2020-10-18,145,1.0,1.0,7,.,296,297.0,144
312,2020-10-19,514,1.15,0.0,29,.,986,1130.0,443
313,2020-10-19,0,15.5,15.5,4,Beta (B.1.351-like),4,62.0,0
314,2020-10-19,0,11.0,11.0,1,Epsilon (B.1.427-like),1,11.0,0
315,2020-10-19,0,15.0,15.0,1,Epsilon (B.1.429-like),1,15.0,0
316,2020-10-20,579,1.16,1.0,36,.,1221,1418.0,606
317,2020-10-20,0,14.33,14.0,3,Beta (B.1.351-like),3,43.0,0
318,2020-10-20,0,16.0,16.0,1,Epsilon (B.1.429-like),1,16.0,0
319,2020-10-21,788,1.42,1.0,82,.,1710,2429.0,840
320,2020-10-21,0,19.57,19.0,14,Alpha (B.1.1.7-like),14,274.0,0
321,2020-10-21,0,13.0,13.0,1,A.23.1-like,1,13.0,0
322,2020-10-22,812,1.12,1.0,46,.,1662,1864.0,804
323,2020-10-22,0,20.17,19.5,6,Alpha (B.1.1.7-like),6,121.0,0
324,2020-10-22,0,15.5,15.5,4,Beta (B.1.351-like),4,62.0,0
325,2020-10-22,0,9.0,9.0,1,Zeta (P.2-like),1,9.0,0
326,2020-10-23,332,1.24,0.0,29,.,628,780.0,267
327,2020-10-23,0,20.0,20.0,6,Alpha (B.1.1.7-like),6,120.0,0
328,2020-10-23,0,14.0,15.0,7,Beta (B.1.351-like),7,98.0,0
329,2020-10-24,406,1.06,0.0,20,.,755,797.0,329
330,2020-10-24,0,19.25,19.5,4,Alpha (B.1.1.7-like),4,77.0,0
331,2020-10-24,0,16.0,16.0,2,Epsilon (B.1.429-like),2,32.0,0
332,2020-10-25,170,1.16,0.0,12,.,324,377.0,142
333,2020-10-25,1,0.0,0.0,0,Alpha (B.1.1.7-like),1,0.0,0
334,2020-10-26,712,1.25,0.0,54,.,1388,1734.0,622
335,2020-10-26,1,0.5,0.5,0,Alpha (B.1.1.7-like),2,1.0,1
336,2020-10-26,1,0.67,1.0,0,Beta (B.1.351-like),3,2.0,2
337,2020-10-26,0,15.0,15.0,1,Epsilon (B.1.429-like),1,15.0,0
338,2020-10-27,340,1.3,1.0,23,.,709,924.0,346
339,2020-10-27,0,1.0,1.0,0,Beta (B.1.351-like),2,2.0,2
340,2020-10-28,194,1.59,0.0,23,.,366,582.0,149
341,2020-10-28,4,0.4,0.0,0,Beta (B.1.351-like),5,2.0,1
342,2020-10-28,0,16.33,16.0,3,Epsilon (B.1.429-like),3,49.0,0
343,2020-10-29,399,1.39,1.0,36,.,840,1165.0,405
344,2020-10-29,7,0.94,1.0,0,Alpha (B.1.1.7-like),18,17.0,11
345,2020-10-29,1,0.0,0.0,0,Beta (B.1.351-like),1,0.0,0
346,2020-10-29,0,10.0,10.0,1,Epsilon (B.1.427-like),1,10.0,0
347,2020-10-29,0,9.0,9.0,1,Zeta (P.2-like),1,9.0,0
348,2020-10-30,356,1.18,1.0,26,.,718,846.0,336
349,2020-10-30,6,0.0,0.0,0,Alpha (B.1.1.7-like),6,0.0,0
350,2020-10-30,1,0.0,0.0,0,Beta (B.1.351-like),1,0.0,0
351,2020-10-30,0,15.67,16.0,3,Epsilon (B.1.429-like),3,47.0,0
352,2020-10-31,177,1.16,0.0,8,.,347,402.0,162
353,2020-10-31,3,0.0,0.0,0,Alpha (B.1.1.7-like),3,0.0,0
354,2020-11-01,633,1.29,1.0,28,.,1412,1816.0,751
355,2020-11-01,10,0.29,0.0,0,Alpha (B.1.1.7-like),14,4.0,4
356,2020-11-02,871,1.39,1.0,79,.,2036,2840.0,1086
357,2020-11-02,11,0.79,1.0,0,Alpha (B.1.1.7-like),33,26.0,22
358,2020-11-02,0,17.17,17.0,6,Epsilon (B.1.429-like),6,103.0,0
359,2020-11-02,2,1.43,1.0,0,Beta (B.1.351-like),7,10.0,5
360,2020-11-03,438,1.53,1.0,44,.,908,1388.0,426
361,2020-11-03,4,0.5,0.0,0,Alpha (B.1.1.7-like),6,3.0,2
362,2020-11-03,1,1.0,1.0,0,Beta (B.1.351-like),6,6.0,5
363,2020-11-03,0,15.0,15.0,1,Epsilon (B.1.429-like),1,15.0,0
364,2020-11-03,0,9.0,9.0,1,Zeta (P.2-like),1,9.0,0
365,2020-11-04,547,1.43,1.0,46,.,1315,1877.0,722
366,2020-11-04,1,2.0,2.0,0,Alpha (B.1.1.7-like),2,4.0,1
367,2020-11-04,0,33.0,33.0,1,Delta (AY.4-like),1,33.0,0
368,2020-11-04,2,1.88,2.5,0,Beta (B.1.351-like),8,15.0,6
369,2020-11-04,0,1.0,1.0,0,Epsilon (B.1.429-like),1,1.0,1
370,2020-11-05,603,1.7,1.0,74,.,1411,2399.0,734
371,2020-11-05,46,0.54,0.0,0,Alpha (B.1.1.7-like),80,43.0,34
372,2020-11-05,2,1.0,0.0,0,Epsilon (B.1.429-like),3,3.0,1
373,2020-11-05,3,0.8,1.0,0,Beta (B.1.351-like),10,8.0,7
374,2020-11-05,0,1.0,1.0,0,Epsilon (B.1.427-like),1,1.0,1
375,2020-11-05,0,10.0,10.0,2,Zeta (P.2-like),2,20.0,0
376,2020-11-06,331,1.65,1.0,39,.,696,1147.0,326
377,2020-11-06,10,0.58,0.0,0,Alpha (B.1.1.7-like),19,11.0,9
378,2020-11-06,3,0.4,0.0,0,Epsilon (B.1.429-like),5,2.0,2
379,2020-11-06,7,0.4,0.0,0,Beta (B.1.351-like),10,4.0,3
380,2020-11-06,0,13.0,13.0,1,Zeta (P.2-like),1,13.0,0
381,2020-11-07,316,1.56,1.0,34,.,782,1220.0,432
382,2020-11-07,2,0.33,0.0,0,Epsilon (B.1.429-like),3,1.0,1
383,2020-11-08,737,1.19,1.0,40,.,1607,1917.0,830
384,2020-11-08,51,0.78,0.0,0,Alpha (B.1.1.7-like),97,76.0,46
385,2020-11-08,1,0.0,0.0,0,Epsilon (B.1.429-like),1,0.0,0
386,2020-11-08,0,35.0,35.0,1,Delta (B.1.617.2-like),1,35.0,0
387,2020-11-09,487,1.48,1.0,46,.,1165,1727.0,632
388,2020-11-09,26,0.38,0.0,0,Alpha (B.1.1.7-like),37,14.0,11
389,2020-11-09,0,47.0,47.0,1,Omicron (BA.1-like),1,47.0,0
390,2020-11-09,9,0.64,0.0,0,Epsilon (B.1.429-like),14,9.0,5
391,2020-11-09,0,3.0,3.0,0,Beta (B.1.351-like),1,3.0,1
392,2020-11-10,353,1.46,1.0,40,.,799,1169.0,406
393,2020-11-10,6,1.17,0.5,0,Alpha (B.1.1.7-like),12,14.0,6
394,2020-11-10,4,2.9,2.5,0,Epsilon (B.1.429-like),10,29.0,6
395,2020-11-10,0,2.0,2.0,0,Beta (B.1.351-like),1,2.0,1
396,2020-11-10,0,14.0,14.0,1,Zeta (P.2-like),1,14.0,0
397,2020-11-11,557,1.42,1.0,48,.,1315,1865.0,710
398,2020-11-11,21,0.51,0.0,0,Alpha (B.1.1.7-like),35,18.0,14
399,2020-11-11,1,2.6,2.0,0,Beta (B.1.351-like),5,13.0,4
400,2020-11-11,3,1.25,0.0,0,Epsilon (B.1.429-like),4,5.0,1
401,2020-11-11,0,6.0,6.0,0,Epsilon (B.1.427-like),1,6.0,1
402,2020-11-12,464,1.54,1.0,45,.,1110,1706.0,601
403,2020-11-12,56,0.42,0.0,0,Alpha (B.1.1.7-like),81,34.0,25
404,2020-11-12,0,11.0,11.0,1,Zeta (P.2-like),1,11.0,0
